A=7064 B=6735 C=9638 X=888900875 Y=4772346847 Z=83962030001 M=3371
A=2950 B=5340 C=9679 X=828982294 Y=5164612938 Z=41392497809 M=3647
A=9817 B=9993 C=8931 X=189662639 Y=7970556170 Z=39632545527 M=8586
A=9457 B=8515 C=7752 X=223480515 Y=4205791439 Z=48653446435 M=8128
A=6766 B=4125 C=9994 X=580375530 Y=9021729291 Z=14439014268 M=3103
A=6317 B=8425 C=7929 X=209230166 Y=4187775485 Z=94453506709 M=2102
A=5696 B=3506 C=7536 X=987925188 Y=5550033384 Z=38512130524 M=1621
A=7482 B=7768 C=5738 X=966331237 Y=4983648243 Z=93362501687 M=1622
A=7346 B=4795 C=7809 X=310107283 Y=4317668721 Z=80349665106 M=3414
A=6664 B=3072 C=8347 X=261974245 Y=3589594755 Z=77959548915 M=5478
A=6741 B=7298 C=7504 X=180172295 Y=9269826554 Z=27227024336 M=7159
A=4078 B=7103 C=8083 X=641048091 Y=7679607141 Z=42614264775 M=1725
A=5556 B=9723 C=6596 X=120850062 Y=6674558469 Z=62228253900 M=2751
A=8507 B=9556 C=7379 X=520692026 Y=8381942115 Z=30795137901 M=8107
A=8820 B=4857 C=6884 X=724059240 Y=8633203228 Z=87296983778 M=3836
A=8657 B=7768 C=5226 X=389248431 Y=3787592530 Z=29747971833 M=1855
A=4660 B=8092 C=9803 X=636133395 Y=9510071302 Z=15952521483 M=6820
A=4468 B=7549 C=9607 X=690269109 Y=8359358069 Z=82724375541 M=6547
A=4779 B=7060 C=8783 X=953516284 Y=6591598616 Z=35405440637 M=6385
A=9193 B=6123 C=6122 X=992453216 Y=1879734239 Z=44386878495 M=5393
A=5406 B=7594 C=7629 X=507741215 Y=5882484810 Z=49943222660 M=7613
A=9076 B=8970 C=9931 X=967048159 Y=9519881581 Z=91919261928 M=1378
A=2241 B=7397 C=9508 X=425918692 Y=4023096555 Z=23587645061 M=3013
A=7980 B=8586 C=6653 X=461270363 Y=6745915751 Z=41475566000 M=2355
A=6044 B=8636 C=9024 X=594033516 Y=8678005171 Z=40071998709 M=4514
A=7637 B=5423 C=7657 X=920080679 Y=3215364116 Z=91731421254 M=4249
A=2636 B=7536 C=7660 X=873620069 Y=2331206838 Z=93707570165 M=6929
A=8359 B=8067 C=9325 X=302112776 Y=1764470229 Z=39337767687 M=7452
A=9808 B=4119 C=7982 X=790199716 Y=7393144218 Z=77586411808 M=3842
A=3545 B=7887 C=5258 X=527329022 Y=3518342959 Z=93858695946 M=7631
A=3982 B=3979 C=8364 X=164653615 Y=2778778295 Z=15868727853 M=3218
A=9235 B=4199 C=9431 X=806890820 Y=7879973158 Z=48813971066 M=7603
A=5641 B=5437 C=5886 X=545924340 Y=9545590795 Z=25723758914 M=7446
A=2564 B=7618 C=7941 X=278776730 Y=8292562632 Z=41341254589 M=9748
A=2654 B=4951 C=7550 X=147252387 Y=9545720536 Z=51367447078 M=9194
A=5315 B=7319 C=8962 X=943791135 Y=8857363113 Z=30909783918 M=8078
A=4847 B=8357 C=6136 X=500516511 Y=7583517755 Z=30693936443 M=5433
A=7767 B=5540 C=6471 X=249783028 Y=8363125950 Z=70104155929 M=2068
A=8925 B=3832 C=6302 X=879733147 Y=4840821722 Z=93578300696 M=1818
A=8005 B=9802 C=5513 X=784918211 Y=5439098466 Z=83363698773 M=6891
A=2632 B=8070 C=8062 X=829006780 Y=8161210491 Z=45472045629 M=5180
A=6466 B=6084 C=5025 X=651002858 Y=1427551191 Z=93094508511 M=1948
A=3907 B=4289 C=8866 X=443177263 Y=1666285992 Z=97880018015 M=3158
A=7467 B=8757 C=5709 X=474840549 Y=9418674097 Z=73853910703 M=1030
A=9249 B=3828 C=8320 X=786824722 Y=5581059687 Z=47728263759 M=4013
A=7178 B=6882 C=8840 X=580567208 Y=6901027785 Z=12514811512 M=5203
A=2678 B=4072 C=6291 X=990619326 Y=5304556379 Z=18775960630 M=1734
A=9572 B=3243 C=8946 X=862843377 Y=1367697905 Z=88171638642 M=6934
A=5953 B=7806 C=7275 X=419364471 Y=8345925053 Z=51211136625 M=3740
A=6591 B=3821 C=9766 X=344478619 Y=1455394971 Z=28127498632 M=3492
A=4512 B=5086 C=8461 X=254442608 Y=7011042406 Z=35135693749 M=1711
A=5010 B=7947 C=7350 X=489582809 Y=1232767163 Z=91318807880 M=3578
A=3667 B=8497 C=9951 X=729061333 Y=7245869349 Z=79458567612 M=2773
A=9762 B=5243 C=7342 X=250627350 Y=8513400241 Z=91519280121 M=9041
A=3462 B=5355 C=6546 X=543813916 Y=1747964309 Z=52316573333 M=5915
A=7147 B=5592 C=9495 X=809804895 Y=4682294594 Z=67178662947 M=8976
A=6386 B=4317 C=8600 X=897698272 Y=3624875321 Z=60215813265 M=9327
A=3829 B=4164 C=5282 X=468437258 Y=9165161823 Z=16842960407 M=7285
A=5151 B=6903 C=8650 X=492600202 Y=9619842158 Z=19112435506 M=3965
A=8716 B=7317 C=6701 X=958284305 Y=7935117426 Z=36818837783 M=1477
A=8631 B=4921 C=7926 X=367732016 Y=7482602193 Z=92024490571 M=5364
A=2962 B=3435 C=9020 X=758363910 Y=1722216070 Z=64035515181 M=6521
A=2762 B=4631 C=8676 X=301539478 Y=3976781843 Z=31087608307 M=2624
A=7169 B=5029 C=7695 X=595065621 Y=6818539490 Z=98040368471 M=5049
A=9816 B=8513 C=8151 X=650502927 Y=6610906181 Z=72831570789 M=3553
A=6084 B=7146 C=9458 X=863497843 Y=2281579510 Z=68339337719 M=5454
A=2900 B=6445 C=8157 X=824867008 Y=6983575259 Z=75398337011 M=4457
A=3266 B=4792 C=5233 X=371867947 Y=9334823069 Z=89561825672 M=6433
A=3808 B=9120 C=7190 X=535348583 Y=6270494644 Z=21951595530 M=4945
A=7329 B=8332 C=9000 X=656672623 Y=8790717433 Z=75493667463 M=5637
A=2915 B=3872 C=8141 X=550218377 Y=9080565791 Z=90317043240 M=7049
A=4702 B=5547 C=5258 X=369581688 Y=6202117336 Z=26437014370 M=8577
A=8667 B=4973 C=6693 X=846622789 Y=8461226837 Z=62787191386 M=5190
A=2097 B=8354 C=5700 X=355091829 Y=2384993531 Z=82872643734 M=1895
A=4342 B=6204 C=5898 X=174534062 Y=8537561029 Z=38671263475 M=1880
A=4220 B=5690 C=6537 X=976787071 Y=9390651998 Z=97766733567 M=4786
A=2681 B=9768 C=8049 X=595527385 Y=8324434825 Z=19488419557 M=7973
A=3619 B=3013 C=8877 X=291065262 Y=5622790669 Z=63436787553 M=9508
A=9269 B=4051 C=7605 X=325846918 Y=3577251698 Z=88608121439 M=1580
A=5477 B=5140 C=8896 X=743370413 Y=8013781524 Z=14717097395 M=1307
A=3651 B=4833 C=6030 X=268367498 Y=4430416587 Z=29264962863 M=9966
A=6708 B=4096 C=9637 X=815737835 Y=2654161426 Z=26103359824 M=4035
A=9454 B=9433 C=6811 X=631121725 Y=1872728364 Z=67691218960 M=7952
A=9767 B=7276 C=6144 X=392198993 Y=1889078366 Z=54100678048 M=5426
A=3143 B=4920 C=5701 X=895136858 Y=5666949662 Z=68215446155 M=1475
A=2392 B=8555 C=5411 X=609306888 Y=4457563456 Z=56727006497 M=4507
A=5341 B=3560 C=5753 X=247151779 Y=8380742906 Z=92831677476 M=9109
A=8065 B=6523 C=7664 X=955416518 Y=8665851819 Z=98617381499 M=9375
A=9532 B=3825 C=8892 X=950805730 Y=9595532823 Z=82345019546 M=7703
A=7988 B=3560 C=6582 X=195319241 Y=4090116272 Z=43727438180 M=8513
A=7520 B=4556 C=9724 X=390048223 Y=6022773741 Z=57581386442 M=1291
A=8362 B=5119 C=5431 X=383802740 Y=3216189281 Z=68241842687 M=9093
A=8160 B=5431 C=5253 X=614785386 Y=2520381202 Z=68998109709 M=3061
A=4123 B=4081 C=6513 X=330543881 Y=2330793032 Z=79207885873 M=2899
A=2767 B=6200 C=5800 X=203062354 Y=8872144332 Z=27731833207 M=8211
A=9552 B=7950 C=6613 X=275850898 Y=6348477435 Z=49070336372 M=1261
A=6116 B=8721 C=6391 X=110129613 Y=4093991169 Z=17714510367 M=8365
A=9082 B=6483 C=7708 X=755537102 Y=2170015273 Z=38399767124 M=5187
A=9974 B=5919 C=8133 X=681610875 Y=2888740501 Z=19845743743 M=7346
A=3618 B=8943 C=9437 X=349288315 Y=4519009086 Z=66516437273 M=6430
A=7667 B=9231 C=7990 X=571692039 Y=5145092783 Z=11320448237 M=4047
A=6169 B=6652 C=6883 X=846438654 Y=5531323836 Z=65445547822 M=8432
A=3071 B=7906 C=7581 X=669659160 Y=2636055682 Z=83635553497 M=8903
A=3618 B=4090 C=5202 X=684958291 Y=2998543802 Z=34269366187 M=2551
A=5699 B=9770 C=9183 X=446865619 Y=1170446450 Z=63976473472 M=3497
A=7520 B=3041 C=6332 X=346309475 Y=9498132173 Z=35837310778 M=1458
A=2148 B=6078 C=5970 X=330508462 Y=6404757822 Z=38769278706 M=3248
A=7208 B=4572 C=8354 X=606239417 Y=2035487645 Z=21724600554 M=1152
A=5570 B=5943 C=6370 X=890946874 Y=2174133941 Z=28320037869 M=9941
A=5565 B=5321 C=7450 X=845736139 Y=7341149087 Z=53424924691 M=1907
A=6035 B=3411 C=9400 X=831195454 Y=3121563459 Z=51403031104 M=4882
A=6847 B=5284 C=8718 X=926112271 Y=9270355256 Z=89997230358 M=9323
A=9712 B=4582 C=7967 X=584330884 Y=4625467573 Z=55758703677 M=3548
A=5916 B=3627 C=9916 X=199509004 Y=6986347035 Z=23071805065 M=2524
A=7098 B=3597 C=9264 X=729593297 Y=4586133998 Z=19604487208 M=9308
A=4589 B=6521 C=8634 X=191700958 Y=5355792937 Z=60092829659 M=9973
A=7874 B=3137 C=7441 X=253048521 Y=5168351475 Z=74517346848 M=2370
A=6789 B=6701 C=9796 X=902529552 Y=8382544126 Z=72814199387 M=3712
A=8820 B=3906 C=9160 X=139269302 Y=6883107587 Z=18977899464 M=1763
A=9017 B=5475 C=6381 X=361371469 Y=3035090725 Z=94538139721 M=3397
A=8436 B=8531 C=6590 X=554883944 Y=7383025377 Z=48526653622 M=9613
A=5319 B=7394 C=9303 X=288041882 Y=5857720310 Z=16134675947 M=6812
A=9884 B=9547 C=9965 X=678646885 Y=9261761017 Z=13369097667 M=3062
A=9001 B=7877 C=6443 X=139096682 Y=6548363542 Z=51547162144 M=5669
A=7124 B=7814 C=5530 X=150596772 Y=8243643925 Z=54482292746 M=3050
A=5102 B=3614 C=6908 X=642643206 Y=7577873834 Z=93383615286 M=3884
A=7248 B=7658 C=6388 X=624026328 Y=7134060641 Z=85847950050 M=3418
A=2179 B=5279 C=9877 X=851469009 Y=3920654899 Z=30468276261 M=6730
A=7573 B=8758 C=7353 X=775826269 Y=4566239164 Z=78301234624 M=6788
A=5160 B=6312 C=8436 X=847555213 Y=6687635525 Z=10128807305 M=9042
A=4427 B=4531 C=8573 X=245417272 Y=6292186617 Z=89078650018 M=8885
A=9031 B=6675 C=6009 X=309742338 Y=2690128683 Z=64587164199 M=6310
A=4344 B=9330 C=8549 X=603149833 Y=5320290685 Z=10717805457 M=4113
A=3784 B=6411 C=5329 X=787565501 Y=5936613740 Z=96846588096 M=3945
A=5404 B=6701 C=9238 X=669019925 Y=2643151699 Z=15121735336 M=1487
A=9456 B=9337 C=6525 X=811616489 Y=9025402450 Z=35719311469 M=9250
A=2324 B=6721 C=5238 X=451903604 Y=9582683931 Z=28613825241 M=6895
A=7853 B=9804 C=5473 X=864773728 Y=6466194063 Z=20590415129 M=6308
A=3924 B=8113 C=7059 X=327042450 Y=7584709873 Z=61576843723 M=4572
A=3541 B=8489 C=8206 X=777031872 Y=9033938773 Z=23386035978 M=3283
A=2956 B=3308 C=9851 X=827064219 Y=1493459433 Z=40329231341 M=4707
A=5625 B=3161 C=7626 X=759553043 Y=8009942127 Z=39759462005 M=3710
A=3478 B=5887 C=5627 X=814927666 Y=7745715346 Z=35258527853 M=9982
A=7278 B=9508 C=8777 X=840807586 Y=2623303478 Z=21656735996 M=1459
A=2518 B=5461 C=8108 X=366198012 Y=5961252256 Z=59802554371 M=8320
A=9079 B=7704 C=8949 X=445485846 Y=1708813094 Z=88170815539 M=4936
A=7153 B=5005 C=8573 X=475556421 Y=7390466325 Z=30404560877 M=7878
A=2446 B=8842 C=5048 X=920178034 Y=4361101281 Z=12265410442 M=2527
A=4703 B=5877 C=6026 X=788705132 Y=3310381824 Z=77670405400 M=7651
A=4577 B=5431 C=9302 X=871462219 Y=8000727357 Z=94976495787 M=7190
A=4812 B=8530 C=5167 X=438892584 Y=1384243790 Z=58464432750 M=5545
A=8678 B=3126 C=7760 X=695196538 Y=7328722398 Z=26811990270 M=8563
A=6335 B=5659 C=6895 X=408409690 Y=9621361783 Z=63687787395 M=4174
A=7369 B=6440 C=8641 X=824928092 Y=2401682346 Z=39293326644 M=9163
A=9770 B=8849 C=7515 X=175190410 Y=8650376128 Z=71850812523 M=4815
A=9678 B=7398 C=9588 X=465614465 Y=8273799841 Z=26025373650 M=9804
A=8178 B=6971 C=7194 X=931183525 Y=4423775863 Z=82214276897 M=4969
A=3372 B=5172 C=7193 X=879866778 Y=3787270910 Z=51113758251 M=4677
A=4891 B=7193 C=8019 X=976490005 Y=4529698367 Z=82980807966 M=9499
A=8937 B=4483 C=7838 X=983255999 Y=1359491290 Z=96348868894 M=8792
A=6063 B=9611 C=5906 X=232081947 Y=5564395742 Z=27020753805 M=5155
A=5422 B=9550 C=8244 X=197593866 Y=8129610040 Z=73310120469 M=2232
A=8817 B=5598 C=7012 X=568642081 Y=3622119670 Z=51331132368 M=5869
A=8171 B=8935 C=5788 X=793114765 Y=9826246199 Z=61557312125 M=3508
A=5501 B=8126 C=7270 X=731997009 Y=4601015080 Z=44818757358 M=1711
A=5634 B=9547 C=7604 X=442313771 Y=7368973385 Z=53182578249 M=5603
A=6884 B=3949 C=9637 X=826251249 Y=1454236819 Z=89374588807 M=8157
A=3148 B=3534 C=9465 X=804955736 Y=9322948279 Z=98252295227 M=3082
A=9824 B=5802 C=6749 X=428347391 Y=8602422813 Z=15489879484 M=4568
A=5792 B=8877 C=9449 X=399472525 Y=9788047302 Z=48128418818 M=9775
A=2018 B=4711 C=9790 X=933446929 Y=1702866122 Z=38085696689 M=5400
A=9874 B=4776 C=6383 X=448542805 Y=7093519586 Z=56453066815 M=4638
A=3677 B=9211 C=6426 X=321460178 Y=5216490044 Z=98527813844 M=2619
A=2423 B=7746 C=9207 X=238183218 Y=7966693695 Z=27035513175 M=2022
A=7329 B=7201 C=5827 X=563675482 Y=4887896174 Z=95601374467 M=7845
A=8938 B=5166 C=7197 X=563971590 Y=3295811273 Z=65684897773 M=2528
A=3599 B=5127 C=8793 X=617946251 Y=4164683907 Z=68945474330 M=5169
A=3178 B=7891 C=7004 X=925619179 Y=8587429019 Z=60023422676 M=7190
A=9013 B=5261 C=6662 X=416176556 Y=9908223024 Z=74270883077 M=5199
A=8336 B=6119 C=7490 X=655664252 Y=5698765990 Z=71900536217 M=6680
A=8113 B=3600 C=9954 X=966599484 Y=5990564607 Z=64203394807 M=9078
A=4457 B=9479 C=6098 X=338248720 Y=6108650521 Z=39901222273 M=9985
A=9490 B=4661 C=7491 X=281740065 Y=7508798842 Z=67316326955 M=5496
A=6424 B=3356 C=8663 X=419130443 Y=5340811610 Z=26514744260 M=9221
A=6506 B=8541 C=7658 X=134931388 Y=6797977667 Z=50882081038 M=1346
A=4690 B=3811 C=8756 X=708891040 Y=8672583156 Z=65480780392 M=6658
A=6709 B=9775 C=7788 X=344241297 Y=5358116086 Z=81246442251 M=2871
A=4257 B=9843 C=6482 X=113614344 Y=2061756420 Z=64740870533 M=4073
A=4060 B=6323 C=9612 X=266434927 Y=8984010104 Z=68667850337 M=8929
A=4782 B=3715 C=6221 X=131695928 Y=3027683906 Z=55559649073 M=5611
A=5128 B=7044 C=8027 X=907796253 Y=5699112585 Z=90637219631 M=5752
A=3831 B=8427 C=7033 X=925215290 Y=1194282702 Z=32983792474 M=4327
A=9586 B=5456 C=7576 X=411418219 Y=8962586870 Z=34139751725 M=3583
A=9035 B=9078 C=6747 X=324160279 Y=5454477244 Z=10175321612 M=3465
A=6106 B=7523 C=6472 X=776381067 Y=4559590561 Z=41159517554 M=6778
A=5477 B=9781 C=7042 X=505318885 Y=6730531222 Z=75070928712 M=6049
A=2419 B=4183 C=8119 X=919546296 Y=1667511863 Z=49004088032 M=3832
A=7602 B=3741 C=7917 X=808547928 Y=2745553999 Z=42007293044 M=1150
A=7674 B=5837 C=9677 X=142051669 Y=4769309926 Z=41942525806 M=4891
A=4260 B=6157 C=6104 X=267822529 Y=7365579960 Z=99013580280 M=1034
A=7703 B=3569 C=8171 X=227231030 Y=8105491150 Z=86839196525 M=9748
A=5239 B=4319 C=9063 X=249715798 Y=4293601622 Z=19596304883 M=1673
A=4843 B=7201 C=9839 X=661815091 Y=5545278379 Z=99501695145 M=7749
A=4977 B=3150 C=5381 X=768728831 Y=7917798921 Z=44766576951 M=2164
A=6115 B=8081 C=7825 X=328294765 Y=4423882982 Z=83318747605 M=7384
A=8759 B=4521 C=6256 X=987024047 Y=7965495592 Z=57712223600 M=2241
A=5711 B=9344 C=5237 X=649228722 Y=9065563416 Z=52394986296 M=1427
A=2597 B=5017 C=9475 X=635896878 Y=6290948484 Z=37635017786 M=2512
A=9700 B=8903 C=7543 X=396192494 Y=3026589323 Z=66999614668 M=6052
A=8783 B=6078 C=8183 X=280622848 Y=9874614374 Z=59561370392 M=2928
A=4870 B=6513 C=6223 X=147645604 Y=4205649885 Z=51580495531 M=2803
A=2141 B=5688 C=8113 X=964711271 Y=5969559271 Z=81208076815 M=5746
A=4617 B=4665 C=9941 X=582881908 Y=5893868956 Z=68237731505 M=1001
A=8417 B=7680 C=8420 X=853628546 Y=8339225274 Z=72638212313 M=6707
A=9467 B=7647 C=6819 X=672855785 Y=6532754979 Z=13021334139 M=5616
A=4721 B=7743 C=5336 X=481077182 Y=5687330341 Z=76982741574 M=3961
A=9619 B=4556 C=6909 X=221268540 Y=5919973979 Z=63134793712 M=1622
A=9369 B=4824 C=8507 X=654278619 Y=9181754247 Z=20542185444 M=6461
A=2528 B=3960 C=5424 X=242428295 Y=3865975705 Z=97993441636 M=1089
A=7417 B=7670 C=7803 X=937415563 Y=6131222105 Z=22286453688 M=5301
A=3368 B=3326 C=9635 X=536863381 Y=5483677995 Z=62089317293 M=5012
A=9022 B=8639 C=9388 X=156656316 Y=7388235638 Z=90316448186 M=4799
A=8680 B=9496 C=6101 X=425920010 Y=4871765695 Z=23831378019 M=8670
A=8865 B=9748 C=9065 X=884043619 Y=4340656703 Z=72445931559 M=4777
A=9684 B=8933 C=7416 X=993747396 Y=7738939572 Z=16139026703 M=5169
A=8100 B=5057 C=7033 X=729431266 Y=8026196668 Z=74107519200 M=9256
A=9409 B=6221 C=9109 X=226543643 Y=5435697974 Z=97085294246 M=2000
A=3017 B=8161 C=9832 X=599297508 Y=8254192358 Z=86927694673 M=4576
A=8233 B=6027 C=8282 X=500303290 Y=1137117295 Z=40557240799 M=4662
A=5301 B=5261 C=7465 X=634558542 Y=5131699366 Z=12444095736 M=6750
A=2257 B=6895 C=9939 X=952481358 Y=7540955715 Z=97315071360 M=6080
A=7872 B=7663 C=8230 X=635180241 Y=4064409324 Z=40659201184 M=5765
A=3213 B=9730 C=5713 X=509411366 Y=2244815491 Z=76903465005 M=4552
A=8886 B=5637 C=8112 X=972225932 Y=5208357848 Z=47702941225 M=6070
A=7858 B=4692 C=8811 X=884985216 Y=9609599555 Z=48628803091 M=1355
A=4453 B=8165 C=5356 X=163815015 Y=9230550971 Z=84228358562 M=9241
A=7432 B=5344 C=7577 X=166454072 Y=7810206647 Z=90057824067 M=7918
A=2741 B=6716 C=6961 X=724710822 Y=4950146954 Z=66724982814 M=1721
A=9860 B=7279 C=6084 X=224773141 Y=4959048867 Z=44169635945 M=9605
A=8465 B=9725 C=7372 X=688981537 Y=9692889281 Z=87461891392 M=3623
A=8140 B=4954 C=5380 X=100942627 Y=7866081557 Z=77539154994 M=1359
A=9647 B=5734 C=6961 X=315237503 Y=5142160346 Z=41823234802 M=7360
A=5121 B=8378 C=8383 X=674201774 Y=7750808094 Z=73375311497 M=2587
A=9830 B=6139 C=9918 X=784309039 Y=1826842607 Z=59341868085 M=6128
A=7832 B=6091 C=6933 X=631761207 Y=1997182629 Z=24039099350 M=5448
A=7561 B=3195 C=9918 X=872161402 Y=3585595726 Z=69464925979 M=3623
A=2473 B=4586 C=8458 X=522332605 Y=2210067462 Z=50044631841 M=1048
A=5853 B=8920 C=7887 X=161699982 Y=2451894961 Z=64627487700 M=3689
A=5201 B=3920 C=6353 X=318437329 Y=1973758927 Z=23422397835 M=6711
A=8757 B=7681 C=9122 X=927705450 Y=7363066079 Z=97413439305 M=8234
A=6142 B=3094 C=5167 X=258032382 Y=7515265745 Z=20663857613 M=5569
A=5978 B=8606 C=8631 X=280324469 Y=9647831569 Z=20143745668 M=1048
A=9943 B=4856 C=9756 X=745164346 Y=5595392341 Z=81013742225 M=8780
A=3259 B=7607 C=6707 X=332868581 Y=9378956813 Z=90172245780 M=7305
A=5449 B=7857 C=5394 X=836521935 Y=2432496669 Z=27313099874 M=8869
A=6261 B=9069 C=6104 X=686458836 Y=6234306605 Z=94943597903 M=9501
A=3508 B=4480 C=7293 X=718905446 Y=9859701167 Z=99772001065 M=4939
A=2250 B=3910 C=6834 X=728076926 Y=3283921599 Z=67547092561 M=8897
A=2009 B=3879 C=7548 X=901913691 Y=9033669388 Z=95778692914 M=1456
A=7966 B=5804 C=6665 X=612229018 Y=9887194201 Z=18095180586 M=1167
A=9403 B=5196 C=7440 X=275385808 Y=4574438794 Z=41608833776 M=9619
A=4639 B=3793 C=9153 X=171838548 Y=4358375355 Z=16786858599 M=8962
A=6878 B=4017 C=8649 X=379268872 Y=4993745292 Z=29291239818 M=3208
A=4429 B=6453 C=7228 X=678799135 Y=1836533175 Z=43999173631 M=8589
A=3549 B=7594 C=6386 X=833072436 Y=4767582413 Z=30662198768 M=5485
A=6802 B=7138 C=7301 X=111476541 Y=5249504899 Z=10514234186 M=7873
A=9083 B=9387 C=8220 X=533877262 Y=5270706311 Z=22380507750 M=9335
A=6176 B=7346 C=7409 X=644508521 Y=3547096160 Z=64125580062 M=7249
A=5041 B=8788 C=8458 X=173682580 Y=3098261293 Z=10449179848 M=2904
A=8283 B=7611 C=7995 X=620263768 Y=5167140009 Z=44938047715 M=4875
A=8395 B=3141 C=7199 X=835774602 Y=7197209687 Z=66674266463 M=4173
A=3970 B=9851 C=8064 X=306280938 Y=4949883519 Z=84290560823 M=4098
A=4451 B=7004 C=9436 X=935331310 Y=7561444309 Z=29491366531 M=7544
A=2280 B=8928 C=6513 X=702403271 Y=9289254290 Z=59714759650 M=4077
A=3248 B=9025 C=8639 X=168517832 Y=4021020851 Z=59654960879 M=8513
